tname,title,view,like,danmaku,share,coin
美妆护肤,BB大王我终于在韩国以女团成员出道了！,1031558,151905,1804,2328,2328
MAD・AMV,“多年以后再看，才明白这是多么讽刺....”,613401,51988,325,1019,1019
数码,没上市的麒麟芯片！华为这颗超大核麒麟9000居然真实存在,414074,33008,921,1693,1693
日常,今天是我的20岁生日，即使我的妈妈已经去世，我也要带她去她想去的地方，原本我挣的钱可以给我妈立个好碑了，但我相信我妈妈在天上肯定会同意我买这辆车带着她去完成梦想,2574523,321760,6107,662,662
财经商业,一口气了解全球经济形势,1030750,83103,10206,6642,6642
出行,竟有商品难吃到被投诉，小翔哥亲自尝试之后，选择直接下架不卖了,597117,15042,384,140,140
搞笑,挑战1元钱换到法拉利,3051564,239806,17940,5804,5804
人文历史,在冰岛建党需要整什么活？【神奇组织16】,1480545,139197,18076,4708,4708
时尚潮流,1920-2020 百年变迁，中国女性职业服装的变化,3679841,545535,4629,7042,7042
穿搭,穿搭 男人最好的医美,305999,7194,103,659,659
日常,一定要看到最后，这是一个倾家荡产玩翡翠赌石的故事,451092,24554,1506,595,595
美食侦探,探秘中国领事馆！一年一次的外交晚宴上都吃些什么？,519113,59668,3024,3415,3415
人文历史,失传暗语 江湖必备！一期带你看懂江湖黑话！,193129,16513,1275,8434,8434
出行,“当各省风景出现在课本上”,238128,43480,2329,3198,3198
美食制作,拌饭天花板！,626692,84276,7019,1385,1385
人文历史,这个王朝，定义了中华文明！,1863558,248035,6857,3509,3509
单机游戏,致命公司 M C「受尽折磨版」!!？,105463,21015,1252,113,113
搞笑,你的身体比你想象中更爱你,205496,34366,405,1001,1001
短片・手书,《二次元神医》,320997,35746,1292,3738,3738
科学科普,为什么制作蓝LED几乎是不可能的,2308262,119511,7886,11838,11838
翻唱,【花火】“一曲《调查中》，带你领略愚者的欢愉”,1004446,65120,227,1863,1863
搞笑,人都有软肋，何况是我。,332404,43145,1795,1069,1069
电子竞技,【天生圣体 xdd】 16 岁天才少年从被质疑开挂到世界第一，自证之路上演真实版绝地求生！,268492,19042,881,807,807
音乐综合,纪念漫画家鸟山明｜《龙珠GT》主题曲《渐渐被你吸引》――坂井泉水【Hi-Res】,703021,49259,2386,9852,9852
单机游戏,“人类真的…还有救吗”,182741,28542,205,111,111
影视杂谈,【阿斗】真实事件翻拍，韩国总统也敢黑？没看过比这更大胆的电影！2023韩国票房冠军《首尔之春》,457873,32442,1343,744,744
影视杂谈,超燃动作电影《重生》，超燃零距离格斗术！不仅能躲子弹还会传说中的开龙脊，拳拳到肉！,2881149,130347,1408,593,593
搞笑,有钱压线，没钱压教练。,760726,61994,2267,3020,3020
绘画,今天是您诞辰126周年，谨以此图敬献伟人,1638958,353398,7293,7172,7172
小剧场,校园版《周处除三害》,353898,19445,279,1141,1141
三农,千万别把佛手瓜直接放在土上，不然它生长后会让你吃到吐！,1703684,109170,729,2203,2203
人力VOCALOID,敢 打 我 学 生 ？！,252396,15500,414,379,379
日常,75岁老奶奶深夜捡垃圾供孙子读大学，尽微薄之力帮她解决点生活上的困难。,889043,216557,3414,5035,5035
搞笑,现在是幻想时间?,5653596,704185,12470,41692,41692
动漫杂谈,咒术回战253话完整解说：最强一级日下部VS诅咒之王！,195759,13420,744,618,618
社科・法律・心理,大型纪录片《男生罚站》将持续为你播出,6659837,488857,1244,15825,15825
国产原创相关,熊大熊二小时候真难杀啊,5345001,55790,917,546,546
单机游戏,《崩坏:星穹铁道》顶级二创!我们用MC还原了贝洛伯格!,112698,28708,261,932,932
电子竞技,这一次，我依旧会将大局逆转！,830372,54781,1217,300,300
MMD・3D,爆肝30天！把网友的梦拍成电影：第五期！,1034043,177433,2495,7705,7705
美食测评,今日带铁蛋在美食领域进修一下,416082,67344,2038,851,851
单机游戏,当你不涂口红就会「输掉比赛」!!？,85381,13090,1697,57,57
明星综合,【时代少年团】《时代有冬西》06：炸你的风还是吹到了温泉,498622,32344,56337,635,635
影视杂谈,【青蒜】我拿的不是枪，而是天命！真・深度解读《周处除三害》,2605515,172200,4966,43359,43359
出行,探秘中国民用射击场！人均700元！都有什么武器？国内首次打枪！,1797255,77453,4571,2052,2052
健身,【反直觉】为什么跑快反而轻松？世界顶级跑步教练的跑姿改善思路（附资源）,76362,8894,66,693,693
单机游戏,不是哥们，你二鼻啊？,354466,49318,4664,1002,1002
搞笑,《重生之我在霸总短剧里当特助》,534853,81124,658,3896,3896
手机游戏,艾拉 VS 全方舟BOSS，狙击正统在特种！【明日方舟】,334680,20998,902,3538,3538
单机游戏,性感且致命的狠角色【动捕演员的精分练习】,570961,48285,379,1566,1566
美食制作,奶茶强者，从不抱怨环境...【肯定有你没喝过的】,149427,21261,421,1380,1380
日常,哪个大城市工资3500啊,418023,22267,1216,400,400
动漫杂谈,尾田荣一郎：在我心里，他是不断前进的英雄。,778151,62127,1636,4910,4910
社科・法律・心理,揭秘洗钱套路：我充个话费，就成了帮凶？,454133,39744,675,4673,4673
科学科普,【亮记生物鉴定】网络热传生物鉴定51,2758785,318639,13846,6272,6272
搞笑,今年花的最值的100块!,1383062,181020,595,348,348
乐评盘点,龙珠十大神曲，每一首都是逝去的童年与青春（以此悼念伟大的漫画家鸟山明）,212330,14233,1438,1982,1982
搞笑,社死！深度考古女主持奇葩现场【低清珍藏版】,499637,65866,4046,762,762
社科・法律・心理,女汉子变女神，喜剧人贾玲为啥不讨喜了？【迟毓凯】,428415,7195,1620,238,238
手工,【燃】赛 博 蹦 迪 现 场,771623,137254,969,3234,3234
三农,我姥是这辈子第一次过妇女节，还算开心哈哈，也祝你们节日快乐,333923,56583,999,1140,1140
电子竞技,【生日作】我，蔡文姬，真正的射手！！,96126,11709,249,84,84
美食制作,大学生就业指导！香好几个跟头的鸡公煲！真正的小白教程！,1611020,210686,934,27292,27292
影视杂谈,有李达康这种狗领导，你让我怎么作为！《人民的名义》精讲第十期,764647,32406,9838,1172,1172
手机游戏,艾拉 VS 全方舟BOSS，刮痧还是乱杀！？【明日方舟】,332465,18590,845,3745,3745
日常,日本的高中生情侣都是这样的吗？？今天我一次遇到了两对！！！！,396027,32173,689,4233,4233
搞笑,【北京・爱情事故】不许和陌生人说话、不料另有隐情？,408415,20597,2082,4285,4285
美食侦探,台湾街头8元一碗饭，拯救瘦小的饼叔深夜的胃……,363277,29750,3519,1814,1814
动物二创,花栗鼠：我这颗小棉花，被踢上天啦,855104,129172,723,3739,3739
三农,如何获得一个自动蓄水的鱼池水源？,787980,63477,452,75,75
单机游戏,王老菊教你平底锅战神,284115,21639,3202,650,650
美食测评,兄弟，你的茶泡饭好香！网红零食大摸底！,325549,23937,2376,463,463
美食制作,天啊!出门前不知道谁又把我行李箱蒸了【密码的馒头】,1511737,126520,1876,4499,4499
出行,城市盲盒系列 之 云浮 像踏进了一片未知的领域,987354,112853,894,2772,2772
搞笑,好好好！带的网恋1月女友回家，折磨的却是我和我妈..【必拿下24】,195082,26774,989,310,310
综合,“吃人”的输送机,1646135,106433,640,1098,1098
环球,日本漫画家鸟山明逝世 外交部：深切哀悼,1598333,128192,1651,38284,38284
手机游戏,《原神》千织角色PV――「绯织一心」,1852822,176331,5027,16962,16962
校园学习,【德语剧场】绝望主妇霸气回归,814315,39162,417,1039,1039
人文历史,天才少女，冒死拍下这张照片！讽刺美国第一人！总统看了都害怕！【透明的她09】,1333497,107338,1921,1870,1870
影视杂谈,也就日本能拍出这种“三观不正”，却处处获奖得电影了吧！肮脏又真实,1933043,136979,2310,1766,1766
购车攻略,捷途旅行者到底行不行？！,185033,19995,2411,1197,1197
影视剪辑,“你在史书上所轻轻翻过的一页 便是他们波澜壮阔的一生！”,147523,6519,481,567,567
美食制作,复刻印度史莱姆饼！越做越觉得眼熟,1162499,105948,5383,1762,1762
网络游戏,弱智吧团建纯享版#5,333539,33960,508,1042,1042
野生动物,《 烫 掉 宫 寒 》,737600,105457,1411,4958,4958
科学科普,为什么猪肉炒出来很多水？是买到了注水肉吗？,2724265,139111,2590,938,938
明星舞蹈,可以算是建模腿吗？sistar19《因为从有到无》翻跳,273345,10991,158,526,526
单机游戏,每一次都有可能是最后一次和兄弟拍视频了...,279553,48161,1325,609,609
搞笑,你一个屁崩没了我的体育梦,418302,12976,71,1218,1218
美食制作,被网友骂了一顿，我想说：,2490546,257552,674,434,434
手机游戏,《原神》角色演示-「行秋：孤舟斩蛟」,349832,40290,317,1951,1951
出行,我悟了，原来最好的转运方式是结婚！,637135,37724,4812,6929,6929
汽车生活,富婆快乐车？花200万买它还是仰望U9？,223654,11236,3195,722,722
日常,不是？你推我动态视频干什么？,1426023,231283,352,13895,13895
单机游戏,这款仅有60MB的游戏，却比“赌博”还让人上瘾！？？,870857,17983,506,696,696
美食制作,每逢佳节倍思亲，感觉好孤独,1435815,95964,1340,1297,1297
单机游戏,女神沦为堕落玩物？主角才是逆天boss！这游戏隐藏结局竟如此绝望！,1221389,53418,1193,488,488
科学科普,【花小烙】女性来月经前为什么会情绪失控异常暴躁？,271173,37915,646,3655,3655
社科・法律・心理,日本贫困女性有多惨？4个之中就有1个！可爱贫穷才是日本妹子的残忍标签.....,852892,44126,5289,667,667
美食记录,芬兰家人第一次来中国，被海底捞惊喜庆生惊到傻眼！体验扯面现场全家爆笑！疯狂拍照停不下来！脑花初体验场面失控！,1091150,98810,6332,739,739
预告・资讯,各大名场面！Netflix重磅科幻大剧《三体》终极预告，全明星阵容！03.21上线,608109,20248,1953,11940,11940
日常,【猫meme】小时候百感交集的一天,2228505,104185,507,1707,1707
小剧场,舅妈，小姑娘的心思你别猜,553551,61611,567,1248,1248
小剧场,周处除三害 但是互联网大厂版,359804,12331,549,7584,7584
日常,猜猜什么原理,2222961,145492,164,943,943
日常,这是说了谢谢 反而才亏欠的情感,184786,40336,191,118,118
日常,不该看的别看，不该学的别学,2163854,104036,699,7158,7158
电子竞技,很喜欢LOL玩家的一句话：___？,1143067,59948,608,560,560
搞笑,挑战一天只吃炸鸡,376285,52354,700,1757,1757
手工,如果你收到这样一封手写信,1713365,223657,529,2984,2984
日常,研究生毕业进厂打工是种怎样的体验？,935453,97721,394,848,848
穿搭,暴跌75%，李宁终于扛不住了？跌到不可思议的好鞋TOP7！,156479,6329,703,285,285
电子竞技,对面：不对劲，这小丑有器灵？,263344,30376,545,161,161
家居房产,小技巧,2069875,121354,937,1640,1640
影视杂谈,跨7个省份，走1万公里，坚持12年，这条追凶之路太苦！真实事件改编电影《三大队》,311363,20650,1723,449,449
搞笑,《重生之我在校园爽剧里当炮灰同学》,827668,122449,700,5667,5667
美食制作,巨型火腿肠？,299210,40338,297,111,111
家居房产,来看看，你们都给我推了什么离谱的东西（下）,165762,28506,608,206,206
搞笑,《重生之我在爽文短剧里当保姆》,1821041,236978,944,22708,22708
单机游戏,春促提前狂欢？！0折限时白给就问你要不要吧！【Steam每周史低游戏推荐】,176463,15582,428,465,465
人文历史,穷鬼健身房越开越多！199元/月，乐刻如何熬死同行？【暗中观察329】IC实验室,292174,12337,1199,2231,2231
美食侦探,街头现切泡水果！还没买阿姨就开始投喂了，20块满满当当一大袋！20的泡水果加阿姨200的热情谁懂啊！！,737149,80839,340,646,646
美食侦探,全员女性的印度餐厅，看起来会有什么不同？,237909,34994,1319,646,646
电子竞技,"《盲选大战》兄弟和你心连心,你和兄弟动脑筋!节目效果炸裂！哈哈哈哈哈！",233183,17957,1008,467,467
日常,我都不知道自己这是开了一家什么店！越开越意想不到,2002907,96950,3590,4652,4652
动漫杂谈,【树哥】偶像被粉丝捅烂下面，美女被逼迫自我玩弄！《猪的复仇》第24集,201328,7518,229,41,41
科学科普,滴上世界上最强的酸，1秒后鸡腿会变成啥样？,815588,23698,2248,620,620
健身,麻烦让一下，我肩膀太宽过不去,851420,63464,1209,2366,2366
搞笑,北方人在南方有多爽？,946962,58388,1292,1322,1322
单机游戏,随机有用植物VS随机僵尸S3赛季总冠军之战 谁才是最强队伍！,40002,6855,1887,108,108
社科・法律・心理,【参考信息第216期】中央加杠杆；鸟山明去世,144404,9140,935,197,197
新能源车,【三分钟看发布会】九代凯美瑞上市，中国品牌：啊？？？,713908,13086,4993,2471,2471
喵星人,我们给公司的猫做了个猫猫版小天才,291993,54832,271,3709,3709
单机游戏,开年最性感大作！通关后我只想吹爆《圣兽之王》,392857,14481,617,3121,3121
国风舞蹈,“没想到小师妹这么会玩鞭子捏”,150799,11976,944,260,260
美食制作,隋卞一做 |炒圆白菜为什么会是镇店菜？炝炒莲花白,235307,14279,611,944,944
人文历史,「当中国历史的节点都能拥有一张会动的封面」,1303650,226381,376,1412,1412
短片・手书,【怒九】看来我糊弄人的本领还不错嘛！,185866,36071,826,704,704
短片・手书,这也能叫刻舟求剑？！！,192002,25495,1117,512,512
搞笑,《吃火锅是你的谎言》,200024,30139,610,398,398
人文历史,咩~你是羊群效应下的盲目小羊吗？,1596667,103593,214,581,581
手机游戏,第五人格牧童：好久不见，曾经熟悉的口号又回来了,121554,16514,276,619,619
科学科普,避孕方式怎么选？男女都需要自查乳腺？这些“妇科”问题男女都要关注！,200439,20841,1335,3816,3816
单机游戏,这个游戏黑了我的电脑，中途打开了我的相机，不要下载这个电子宠物,1739613,56179,27293,969,969
影视杂谈,恐怖片背后的真实故事，这玩意比电影演的还邪乎呢！,250287,31378,555,217,217
美食侦探,美食博主特种兵旅行之台州一日吃！一天完全不够吃啊！,276313,19870,1143,989,989
单机游戏,【warma】我背不动这么大的包啊啊啊！！,154671,25535,666,467,467
搞笑,真的有这么丝滑吗？,545856,24997,199,362,362
日常,它是破过吉尼斯记录的中国非遗，现场太震撼了！,1210667,68305,1461,1269,1269
三农,一个农村女孩不自信日记,260263,24080,2008,590,590
音乐综合,「代号诡秘」廷 根 旧 梦 ――《诡秘之主》游戏实机场景,5169630,125772,2538,16773,16773
小剧场,如果你是穿越成呗杀全家的主角，你会怎样报仇,702012,55888,130,983,983
美食侦探,揭秘古代皇帝流水席吃啥！能吃能喝还能玩？,245585,21269,1872,1192,1192
单机游戏,我的世界画质到底有多高？体验超真实材质包,72688,8928,699,47,47
娱乐杂谈,2024恋综黑马！亲兄妹假装不认识一起上恋综！开分9.2的《恋爱兄妹》第一期解说【金子】,352960,21452,1273,4357,4357
美食侦探,用垃圾熏肉？！只要进对了店，315每天都过,1458394,98982,4257,12338,12338
短片・手书,帮忙看看这是啥动物,155775,28358,643,1720,1720
搞笑,当代女性力量图鉴,155684,36297,316,658,658
单机游戏,把好兄弟困在「视错觉世界」!! 他们的反应笑死我了!!,2772136,120363,4380,837,837
综合,【无尽阶梯】新一期3D渲染大赛作品！每一幅作品都有一个故事！,346051,57778,576,1886,1886
财经商业,乳腺癌之后，我戴上了义乳，才知道失去乳房是一件多难以接受的事【三亿】,420985,15373,395,1060,1060
影视杂谈,《复联4》的真正结局，托尼从未死去！且看上山的灭霸如何屠戮山巅的众神,610990,11840,611,95,95
GMV,「群星闪耀 薪火永燃 V」“传承永燃不熄之薪火 开拓终抵群星的旅途”,209705,48117,2678,1066,1066
单机游戏,MC原版bug！念力逆天控物！,253531,28859,807,115,115
手机游戏,全地面六星干员 VS 马特奥上尉，莫欺老年穷！【明日方舟】,370810,21699,2009,317,317
小剧场,当娱乐圈倒退100年而你不受影响,1694505,143200,470,2239,2239
搞笑,咱爹批雪糕历险记,222490,31523,475,370,370
音乐综合,再见，青春。｜鸟山明《七龙珠》主题曲《悟空不可思议的大冒险》――高蜓洹Hi-Res】,314485,17170,571,2339,2339
健身,久坐出来的粗腿塌屁股 被区区100个女神蹲拯救了,384366,18320,263,3146,3146
人文历史,【邓肯】马航MH370失踪十周年祭，盘点对真相的几种恐怖猜测,285650,16791,1852,740,740
影视杂谈,走向鲜花遍地的世界总要穿过凛冽的寒冬，高分电影《妇女参政论者》,157072,9590,256,352,352
搞笑,【梗百科】兔子洞是啥梗？这是一期很粉色的视频？！,1065121,78549,743,858,858
搞笑,四川人有多喜欢阴阳怪气,179530,19864,603,2482,2482
搞笑,假如我是商业奇才（超级无敌宇宙爽啊啊啊啊）,199537,19589,225,64,64
搞笑,你们想喝吗,637374,53471,1156,804,804
单机游戏,鬼：你再装作看不到我呢？,1218642,44658,853,223,223
电子竞技,《魔兽争霸3》，如果技能没有冷却时间，谁能单挑海军十八金人？,272612,15504,8857,197,197
美食侦探,广州老城区的宝藏小店，牛肉炒面、干炒牛河碳水爆棚了！,239562,18614,1347,603,603
穿搭,100元穿出干元高级感，王鹤棣百元同款穿褡轻松get明星同款,901527,39146,80,488,488
搞笑,【底层社恐幼师的一天】屎到淋头了…到此为止了…人生,2553969,392470,2773,38480,38480
人文历史,王国士兵的餐桌――奥斯曼帝国篇,282999,19344,1202,550,550
科学科普,豆腐和米饭上的奇怪霉菌是须霉,505556,71380,756,1099,1099
时尚潮流,与其等待别人多看我一眼多爱我一点 不如当下把自己变足够优秀,1636859,279498,2059,1132,1132
美食制作,店里卖899一份的招牌菜，自己在家做，居然只花了…,1824232,146841,3264,1885,1885
手机游戏,现版本，你甚至可以看到百战水门秒人,440916,31617,321,2016,2016
美食侦探,中东醋王VS贵州酸汤火锅!我宣布，这就是我的本命火锅!,235026,20370,2274,515,515
田园美食,刚把鱼敲晕，客人就说不要了，转身就走,2859892,139415,852,491,491
影视杂谈,【HP】盘点《哈利波特与凤凰社》原著中没有被电影还原的剧情细节！（上）,807716,27537,2141,924,924
短片・手书,【轰】对不起，我不是故意要超度你的…,97431,17811,321,58,58
新能源车,"定价￥700,000瞬间售罄！中国越野车的春天来了？深扒坦克700Hi4-T背后的技术秘密【镖技术・坦克】",376025,22379,474,296,296
科学科普,手搓膛线,897617,38787,143,1092,1092
短片・手书,控制中枢彩六攻防战,226065,22705,293,872,872
运动综合,油锅面前众生平等,1398626,61406,551,268,268
鬼畜剧场,【最强唐僧3】三葬除三害！,1378573,75603,1301,12392,12392
汪星人,社牛小狗被拴半个月，彻底服从了，遛狗时超开心！,339007,21641,791,244,244
影视杂谈,这开局太炸裂了！当神级反派提前看了剧本，漫威重启巨制《终极入侵》有多好看？,1172237,136674,1458,1773,1773
影视剪辑,“她似乎不怎么明白，我有多爱她”用22分钟展现直树爱湘琴的证明，直树真的很爱很爱湘琴！只是性格使然他不善于表达，他一直都是只做不说◎恶作剧之吻丨直树x湘琴,221545,11701,622,1980,1980
短片・手书,花火：重力！凶手是重力！,189914,24824,202,261,261
短片・手书,国服玩家彻底破坏迷宫生态【迷宫饭】,224810,19360,243,1407,1407
搞笑,自以为是的男人,281247,32152,1277,808,808
搞笑,继子：我养了个继爸...【包浆视频】,182127,15022,994,220,220
数码,这样的房间你能呆多久？胶佬电竞房大变身！,95528,8022,487,455,455
日常,提“消费观”，那就是“控制欲”的……遮羞布！,719462,127562,808,1300,1300
明星舞蹈,溢出屏幕的元气生命力！???>?< ??,334685,26699,140,1516,1516
日常,三八节特辑：女性一生会听到多少种噪音,123863,5208,364,688,688
搞笑,终于到了头上 长摄像头的年龄了【恶作剧248】,262713,46217,1740,588,588
三农,来猴哥新房看看，屋后邻居也建好围墙，独家独院挺好的,172353,14098,960,70,70
美食记录,摊牌了我是厨子,320968,17387,721,415,415
网络游戏,“我看你号也没玩过乌鸦啊，器灵？”共享账号挑战高手组S14！#9,310617,14136,686,182,182
日常,英姿飒爽“女箭客”前一秒轻松嬉笑，张弓搭箭后眼神瞬间变犀利，蓄势一击正中靶心,1924073,130981,233,572,572
社科・法律・心理,【小季说】为什么邪教徒敢集体自杀？邪教都是怎么给信徒们打下思想钢印的？,371469,17420,672,392,392
科学科普,【细思极恐】英国一科学家用实验来证明我们的世界是虚拟的，他成功了吗？,286701,10754,2165,782,782
动漫杂谈,九年前火爆全网的番！竟有未播隐藏结局？一口气回顾《夏洛特Charlotte》,381613,30113,993,819,819
美食记录,190买三根牛舌，胖龙做爆炒牛舌粉，晚上饿了不能看,279512,13471,1235,260,260
小剧场,快乐教学！,1499670,148876,2705,1492,1492
计算机技术,王炸！全网最全AI生成视频教程，绅士必备的一键启动包！,797709,46218,841,4287,4287
电子竞技,一年直播名场面！总有一波笑到你！看看有几波在现场！,425097,28218,290,814,814
出行,从现在起 每一次勇敢 我都要这样欢呼,737175,82992,510,652,652
美食侦探,简简单单吃肉,752464,120017,1432,2453,2453
美食记录,三健客终于来吃自助啦，狠狠让老板亏本一回,757536,29729,1591,1608,1608
搞笑,《 矿 泉 水 加 热 器 》,1128410,75784,2131,895,895
搞笑,你这样街访真得不合适 但真得好好笑啊哈哈哈哈哈哈,946399,83344,400,1800,1800
电子竞技,【巅峰数据排行72】什么？他竟然？,202720,15830,913,284,284
日常,乘风破浪的姐姐重伤谭sir，致其考虑推出新栏目《乔姐说交通》,320162,29236,1363,325,325
小剧场,我是你预判不了的男人,812365,45633,197,1987,1987
动漫杂谈,财阀诈骗医生，治病不交手术费，医生便在绝境中反诈骗财阀！,2354837,43647,170,72,72
桌游棋牌,【战锤】谁更凶？星际战士能否挑战中式僵尸王？,91353,12570,1123,592,592
数码,能拍8K视频的徕卡全画幅相机？！,477767,38183,2155,2191,2191
仿妆cos,偷偷爆改成热血高校，给老婆一个小惊喜！！,111947,14171,1245,313,313
美食制作,好久不见，我真的来b站了。,1096462,303916,1213,1025,1025
乐评盘点,明明是首顶级战歌，一看歌词竟是“情歌”？战斗民族情歌太炸裂了！,680561,23494,127,89,89
喵星人,长官！我申请做你的宝贝,620627,38009,347,534,534
仿妆cos,没抽到花火的你才是真欢愉o(^^)o,546232,114832,387,2784,2784
影视杂谈,我叫二郎神，要不是沉香是我外甥，我早就一刀砍死他了,230850,17165,1070,646,646
影视剪辑,“年轻又貌美，但闯进叔圈了”走个路都劲儿劲儿的！,1802407,80303,1402,6557,6557
影视杂谈,《看过最炸裂的国产剧》,227813,16621,2510,644,644
手机游戏,惨败！再战！三忍集结为雪前耻，共赴天地战场！从零开始的火影之路（十一）,239096,12623,461,108,108
翻唱,女儿情,613061,69242,588,1858,1858
手机游戏,怒氪12W被针对！玩到真火影了！火影忍者爆氪冲击至高无上！#4,1901627,125410,795,1033,1033
校园学习,当我们长大了，当我们承担了父亲的责任！,1364784,169253,171,862,862
影视杂谈,美与震撼！《沙丘2》十大角色、美学、场景超详细解析！,73088,4277,447,828,828
单机游戏,“ V R 禽 兽！！！ ”,420059,37983,442,262,262
小剧场,陈翔六点半：如鲠在喉,198365,16671,441,272,272
手机游戏,花导故事会,1014372,134326,3239,10412,10412
科学科普,中国发现的新人种“龙人”，改写了非洲起源说的主要内容,585296,27942,1364,998,998
影视杂谈,灵堂爆头、邪教洗脑！公映前突然换盘！尺度爽片《周处除三害》【以片概全】,3743966,93421,4648,9426,9426
喵星人,我妈不让小猫上床，小猫哼哼唧唧撒娇让我抱他,865297,76589,309,263,263
MAD・AMV,“长大后才发现，这么棒的动漫越来越少了...“,466318,21715,570,439,439
单机游戏,在这里当保安太难了，你能分辨谁是伪人吗？,788504,71868,6741,962,962
日常,《冰红茶》6.0,238458,80738,282,7578,7578
绘画,白色创作挑战,568845,74961,347,160,160
日常,有个爱玩会玩游戏的对象是什么体验,798871,25823,42,8365,8365
动漫杂谈,一人之下662：似冲、澄真被全性围攻惨死，三一门与全性结下血仇,159420,7128,821,355,355
绘画,我妈居然把我和牛杂放一起,357401,85560,342,2797,2797
手机游戏,梦幻联动！秋风VS关中，真是一场酣畅淋漓的对决啊！,381854,30410,849,1696,1696
短片・手书,女生捡到很直的棍子 VS 男生捡到很直的棍子,117823,11435,606,111,111
人文历史,两小时，四万字，带你领略周总理波澜壮阔的一生【毒舌的南瓜】,1163987,120753,7148,12278,12278
日常,《猫和老鼠》,258823,61604,125,214,214
单机游戏,千万不要让伪人混入公寓！伪人出没请出示证件！,615689,10344,983,103,103
小剧场,到底谁上班在打扮啊！,802722,68449,186,1530,1530
MAD・AMV,『 你 管 这 叫 干 饭 ？ 』,138002,16044,304,586,586
财经商业,【半佛】快递不送上门，别怪快递员,671449,46126,1889,1062,1062
MMD・3D,我看小姨你啊，也是风韵犹存~,229112,43935,202,846,846
搞笑,【邻居篇】日本单亲妈妈去中国后，价值观发生变化的故事(6)【猫meme】,1066831,71816,730,1105,1105
人文历史,揭秘世界残酷的真相，我们从始至终，都生活在谎言里！,1066932,30962,708,1583,1583
影视杂谈,近20年最好的僵尸片！冤死的双胞胎，退隐的老道士，10年前的灭门惨案，一部恐怖电影的背后到底带着多少无奈呢？,114997,6945,1258,273,273
手机游戏,景元全程单通黄金与机械难题12，主播打完原地起飞！神君最开心的一集！,206023,19179,1418,341,341
原创音乐,一个男人连男德都守不住？他还能守住什么呢？,108236,12677,202,1500,1500
数码,荣耀偷偷干翻全场？MagicOS动画解析/体验（鸿蒙/HyperOS/iOS对比）「STRAY」,62185,4203,645,204,204
明星综合,【TF家族练习生】「2024新春音乐会――盛放」制作篇（中）,403260,14334,69312,327,327
校园学习,Sora的尽头是直播卖课，国外AI卷疯了国内卖课赚麻了【Git源宝】,304346,24044,250,845,845
人文历史,请问谁给我打的晋升报告？升级啦！中国人民革命军事博物馆官方账号，敬请关注！,270157,19305,551,200,200
出行,美国媳妇第一次来中国，一口豆浆油条沦陷了,447087,38385,4998,695,695
影视杂谈,【1900】告别鸟山明！一位站在少年漫画顶点的天才,118757,11028,679,743,743
短片・手书,《地 表 最 强 戏 子 》当体内寄生了一群克苏鲁！我依它们期待表演便能获得力量！,205227,10511,201,99,99
