tname,title,view,like,danmaku,share,coin
手机游戏,这哪是抽卡，这是大海捞针！！,1456870,212874,5355,4257,4257
出行,雾雨天徒步黄山！忽然懂了什么叫中国山水画...【互联网脚替04】,796918,44940,3773,3226,3226
单机游戏,这种校园模拟器不会被举报吗？教导主任潜规则女学生！,363345,19014,1139,407,407
喵星人,被人扔出来的橘,178170,27268,896,224,224
喵星人,这种西部菱斑响尾蛇有剧毒！不要轻易靠近！,1056670,142395,934,3622,3622
单机游戏,当我第一次和妈妈玩MC！,210469,18506,615,547,547
美食侦探,这不是一家火锅店，这是一座火锅城！家庭聚餐体验感直接拉满！,489284,44491,6414,920,920
手机游戏,【水晶箭行动】CR-1至CR-8 摆完挂机 简单好抄,715364,33510,1227,672,672
科学科普,网络热门长虫视频(66)保安徒手打死7米巨蟒？自己也身受重伤！最终村民一起把蟒蛇吃了？,1127530,25251,2798,233,233
手机游戏,?爆氪104万元?挑战通关【梦幻手游】！第二季#1,155949,10126,679,1587,1587
日常,Wǒmen 都了不起,137348,33439,90,1826,1826
搞笑,所以说狮子怎么念,996242,74986,598,3879,3879
穿搭,20240308-试纱4(Cut AD),202489,30708,2038,273,273
影视杂谈,【阿斗】93万人打出8.3分，一部披着喜剧外衣的荒诞悲剧！没有一个大牌明星却口碑爆棚《驴得水》,2239386,84692,5894,1608,1608
单机游戏,红警对手开黑网吧2连坐！提前把主要路口锁住，对手无计可施！,235513,16454,1221,112,112
科学科普,连续但处处不可导，魏尔斯特拉斯函数，严谨数学下的妖兽,586156,28602,1493,1989,1989
单机游戏,Epic周免预告：要3A有3A，要艺术有艺术,298206,10388,119,1348,1348
短片,去看一场春天里的三角梅吧！,1186192,70159,236,2158,2158
社科・法律・心理,6个最容易把关系处烂的倾听习惯，你遇到过几个？一定要警惕！,205576,15123,1001,2273,2273
综合,【熟肉】日本人来中国当大学日语老师震惊到的3件事 | 猫meme,744062,39330,785,1026,1026
电子竞技,每一次成功都需要无数次的失败去铸造,287825,27868,112,145,145
影视杂谈,女子在超能力世界，却是唯一没能力的，被每个人完虐好崩溃【科幻Fans 布玛】英国超能力喜剧《珍的不一样》第一集,1373484,71236,951,384,384
MMD・3D,花火：我可以变成任何你想看见的样子哟……～,532345,40854,305,1572,1572
搞笑,除三害，但是cf音效,781068,22492,898,5837,5837
搞笑,看为师救你于水火,237106,29628,206,111,111
影视杂谈,一次南下巡演，两颗心的救赎，他们的友谊感动了千万人,2558777,29701,424,64,64
搞笑,当你的女朋友是学导演的……,1275023,149877,2200,4304,4304
粉丝创作,起猛了 我爱豆的哥哥成我老师了……,209761,32640,420,4931,4931
影视杂谈,羰基生命，行星转子，星际闪电，硬到掉牙的黄金科幻名著――《长跃号》,71722,9240,130,149,149
喵星人,好好好，这样玩是吧？你晚上总有闭眼的时候吧！,676738,19787,760,1968,1968
单机游戏,当我的世界只有洞穴？！！！！,247899,22416,530,60,60
美食侦探,居然还有15元的抄手自助？！上他一课！,207237,22491,224,265,265
单机游戏,注意这间汉堡店！肚子再饿也别进去消费！,289925,21283,3362,327,327
日常,我和意大利小子分手了！结束两年异国恋情 恢复单身！,2302943,254899,6189,5527,5527
乐评盘点,求求别再毁歌了！好好的歌曲非要变个速，把原唱修成少萝音！,1349046,21849,1273,178,178
家居房产,同户型不同装修大PK！职业、MBTI对装修的影响居然这么大... |RoomTour,90014,5344,1203,777,777
搞笑,你们的语文老师要是看见你的小说写成这样，不得法院见。,1386128,137278,890,1079,1079
VOCALOID・UTAU,【AI武器】《天下》,176583,12614,245,633,633
手机游戏,《魔力宝贝：复兴》情怀动漫丨你还记得那些陪你魔力的人吗？,300462,10506,126,492,492
音乐现场,今天听这首歌的人都是最可爱的人,106384,15267,2609,1931,1931
小剧场,“没关系”就是最好的关系。,94660,9307,367,1007,1007
影视杂谈,妇女节，这样的女性电影不配排片吗？,256415,16518,301,1056,1056
美食制作,这么多口味都拿不下你？,565973,83801,837,1046,1046
数码,【短的发布会】魅友狂喜，最后一部手机魅族21 Pro上演狂风呼啸魅族前高管,160178,12856,494,310,310
桌游棋牌,真人特效三国杀！关羽大战哥斯拉！,1607685,95229,2542,16059,16059
鬼畜调教,明星大侦探，但是Wife,228998,16890,226,841,841
日常,一个被困在船上27年的船长,588385,141574,646,547,547
汪星人,小狗：妈 我真长这样？？？,438176,56304,126,8907,8907
音乐综合,纪念漫画家鸟山明｜《龙珠》片尾曲《将浪漫献给你》――虮境薄Hi-Res】,108470,7155,247,1030,1030
短片・手书,《蛊真人》第七十集：群狼袭寨！,108137,14145,1091,283,283
社科・法律・心理,男子手持木棍冲向警员，遭警员开7枪击毙！EP321,258664,22403,2946,366,366
鬼畜剧场,?宿 管 查 寝?,220081,10867,416,1860,1860
影视杂谈,单方面申请所谓“be美学”也管管女主死活！！！,176248,12141,1267,320,320
喵星人,《一个美好的愿望》,305004,61432,252,192,192
搞笑,年度宿舍最佳室友提名,436474,60657,808,1959,1959
鬼畜剧场,小 丑 宝 宝,331606,24655,704,1116,1116
科学科普,配享太庙！都江堰，有多神奇？为何能改变成都？【4K】,398108,37199,1308,4051,4051
手机游戏,【明日方舟】“水晶箭行动”CR-1~8平民低配全关卡攻略（含EX）！操作轻松+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录,164451,13955,433,295,295
音乐现场,【官方音源】G.E.M.邓紫棋《Amazing Grace》(Official Lyric Video),219414,20990,1385,1569,1569
明星舞蹈,DIY超还原打歌服！Super Lady全曲翻跳｜MV灵感10套换装｜超长制作花絮,57344,11111,404,150,150
小剧场,“把海弄干的鱼在海干前上了陆地。” - 最后一片海,69311,6372,403,429,429
日常,小时候我们一起上学，长大了我们一起上班！！！,81051,11426,1220,327,327
单机游戏,我的世界：巨型工具3，超巨大钻剑，可以御剑飞行,159724,14793,1984,144,144
电子竞技,关羽五大终极技巧！,693213,46252,369,1403,1403
单机游戏,宝可梦帕鲁竟是我自己？？【幻兽帕鲁宝可梦MOD】,175241,11264,388,1620,1620
美食侦探,探秘美国纽约黑人犯罪区的手枪腿炸鸡是怎样的？！！,1228016,112029,825,695,695
动漫杂谈,面对芙莉莲原作最拉跨的篇章，动画组的选择是？,304473,10744,523,287,287
单机游戏,9年前因玩弄人性引起热议的翌日游戏？恐怖程度堪称地狱级别！,62610,4735,358,97,97
手机游戏,【明日方舟】艾拉实战测评：在她绝对的强度面前，限定好像只是个添头！强烈推荐抽取潜能！,603027,13241,1189,1508,1508
短片・手书,闲云：芝士申鹤，她很可爱~〖白白剧场〗,214966,31337,802,805,805
鬼畜剧场,皇 室 战 争,541911,54665,462,1264,1264
手机游戏,疾风传时期就偷偷学会天手力的屑佐助,431406,22037,167,3482,3482
赛车,“一场让参赛选手近乎崩溃的比赛”,88398,8306,1172,294,294
手机游戏,目光所及之处是你、全是你――「眸光映照处」PV公开,272934,17700,1386,6020,6020
单机游戏,【惊变群岛100天】丧尸变异！庇护所沦陷！#16 我的世界,210517,6988,237,19,19
汪星人,恩佐小虎差点以一己之力，让豫西狗场重新洗牌，多亏黑豹及时出现,903799,23091,790,456,456
综合,农场强化封锁区现状――,95202,9191,217,211,211
美妆护肤,暗黑的白雪公主！ #血腥疯批美人5#模特日常#迪士尼童话#变装#化妆教程#黑化公主#暗黑系#疯批美人系列#沙雕日常！,352652,64230,160,304,304
科学科普,【物理篇】派蒙讲物理――力,165830,37548,367,2719,2719
日常,小朋友拍cos照不开心？拍照不满意？,230916,64154,247,325,325
动物综合,罗爷爷祝各位女同志们节日快乐 欢迎3.8日免费参观哦,317568,248276,758,168,168
搞笑,大一到大四恋爱观变化,491141,63245,297,2778,2778
手机游戏,全近战六星干员 VS 马特奥・二阶段，艾拉首战告捷！,194898,13042,1303,149,149
仿妆cos,我都成年了！怎么还有防沉迷啊！？,624635,122971,171,1751,1751
财经商业,三年间，电影市场天翻地覆,109979,6698,1810,359,359
搞笑,穿马面裙在伦敦街头送路人花，他们的反应是?,537188,150711,422,3863,3863
搞笑,全球发音是什么梗【梗指南】,1160742,85041,950,12171,12171
宅舞,草莓大蛋糕勇闯拜年纪的内心活动,1352522,64661,106,518,518
MAD・AMV,"""在这痛苦世界   是你让我知道了何为爱"" / Call of Silence",185573,24368,127,527,527
社科・法律・心理,深度 | 信教的人不怕死？邪教背后的2大哲学《周处除三害》,636357,32113,2077,2096,2096
日常,大学有“家长群”？毕业啃老，不怨孩子！,545681,62831,253,2245,2245
影视剪辑,“枪声响起的那一刻，艺术达到了巅峰！”,235631,32607,103,271,271
日常,穿山甲又开始创业了？,997724,86298,2685,1187,1187
娱乐杂谈,今年谁会爆梗出圈呢？《浪姐2024》选手前瞻,479334,15289,4375,690,690
电子竞技,文森特：双排意外撞车骚男！曾国服第一男刀与国服第一德莱文的碰撞！！,917359,49876,972,679,679
影视杂谈,十八年了，佟湘玉还是被低估了！《武林外传》人物品评,125120,5791,876,382,382
桌游棋牌,他们是沙海中的巨型霸主，被人类奉若神明的存在-《沙丘》背景故事,104583,8526,772,483,483
仿妆cos,自从知道卡妈跟图图妈…是同一个人之后,650244,71436,5,617,617
职业职场,香港最美搬运工，拒嫁豪门，只靠自己！,934876,156745,1008,1144,1144
财经商业,中国现在最富有的女人，你们知道都有谁吗？,1001688,109743,3430,4873,4873
搞笑,《孙子你是真孙子啊！》,212651,30688,188,1003,1003
汽车生活,大 舅 哥 说 车,556714,36318,4806,977,977
财经商业,【36氪】精装房买一层送一层，活在东北的年轻人直接开躺？,315021,16430,1078,5206,5206
电子竞技,狗头：孩子打完游戏怎么不睡觉？,119814,14244,1359,209,209
影视剪辑,笑死!!18年前央妈就教内娱怎么拍好仙凡恋了!!这版许仙直接男主人设天花板啊！小时候看不懂现在才明白他的情意字字珠玑！果然这版许仙才最值得白素贞水漫金山啊！！,887346,76001,2474,6987,6987
单机游戏,杂交传送带,578696,33108,702,287,287
鬼畜剧场,?国 王 疯 了?,175501,20518,384,467,467
日常,你们要的猫耳脑袋教程,735531,53624,80,16901,16901
出行,“像故事的开头还是结尾”,265174,22530,368,975,975
穿搭,千年无名女性图鉴・没有“名字”的女人,325266,101559,388,1121,1121
汪星人,我承认我有赌的心态,2053383,197898,594,5535,5535
原创音乐,《你的眼神是一场盛大的废墟》,85880,14368,79,695,695
单机游戏,玉米投手娘化！你需要一份黄油吗？,462617,56341,573,1375,1375
影视杂谈,妈妈要我替她顶罪？一对母女的极限拉扯!黑暗神作【血观音】逐帧解读⑩拉片,129457,11562,557,155,155
美食制作,当我妈嫌我脾气不好拒绝给我做饭后,123865,12767,2292,567,567
配音,我终于明白，什么才算真正见过世面：,160005,10693,333,646,646
喵星人,不敢想躺在这样的猫堆里有多幸福,653349,210649,504,3210,3210
影视杂谈,万字拆解《沙丘》：结合原著，看懂故事，搞懂世界观，做足功课去看《沙丘2》,427930,20917,4314,7127,7127
影视杂谈,施主时代变了！和尚物理超度特务，惹了方丈还想走《五号特工组》P5,70884,5593,389,39,39
网络游戏,小高玩M4,227908,20041,547,384,384
电子竞技,我们马可玩家真是太有盼头啦！,2932968,111058,1930,792,792
宅舞,郅卧☆,232403,59073,716,674,674
综合,【国语】流浪老哥变身精神小伙，精神病人被重拳打得鼻血直流，八角笼中谁主沉浮？――《功夫》像素游戏？,106302,13110,787,1225,1225
动漫杂谈,宿傩打出黑闪！咒术回战253话情报来了！,919305,41256,2402,7623,7623
国产原创相关,灵魂穿越到不同动漫世界，而且还能共享能力？【十人碎片05】,589851,18028,688,163,163
桌游棋牌,【逗鱼时刻】第415期 60血，打死我！,545326,29954,3551,889,889
电子竞技,版本最强操作怪！学会必上分！,186915,9817,285,218,218
搞笑,【汉语学习篇】日本单亲妈妈去中国后，价值观发生变化的故事(5)【猫meme】,1559061,144567,1967,3204,3204
社科・法律・心理,30岁的我接到了26岁打给自己的一通电话。,1437474,177755,984,11721,11721
汪星人,我的狗不会吵架，我替他们吵,730276,112315,798,10367,10367
健身,轻断食指南 | 断早餐还是晚餐？怎么吃健康又不痛苦？,365243,13331,300,1528,1528
小剧场,瓦龙：我可没打算花钱买,4554626,803971,713,18286,18286
单机游戏,木鱼重启你做我玩系列，却没想到被作者当成猴耍？,73649,10879,876,151,151
社科・法律・心理,毁掉前女友、谋杀室友、30年嫉妒100多人...自恋巨婴的3种下场：精神病院、监狱、坟墓,78324,4842,933,959,959
短片,脏老师；微笑是一种礼貌，也是一种警告-《集市风云》第十五集,600820,56817,409,649,649
汪星人,"人与动物和谐共处,目前最强的咬人恶犬哈士奇六六",212181,24630,1294,2340,2340
小剧场,假如采访恶毒女配们,192941,31528,113,433,433
手机游戏,帕姆放映厅?|?「你好你好，我是花火。」,387371,56126,150,1244,1244
手机游戏,黄猿…紫狗…骨架等全部阵亡…和拖更云一起疯狂上香！！,305229,30143,464,2394,2394
演奏,妈妈又把闺蜜叫来拉琴啦！这次是《晓之车》，中间有惊喜！,44637,6036,235,461,461
日常,与伴侣父母合不来，能结婚吗？体验“两头婚”的小夫妻｜年轻人为何被亲情关系困扰？,70312,5663,684,1328,1328
小剧场,坏了坏了坏了！惊喜变惊吓了！,507202,40749,331,553,553
单机游戏,【IGN】《守望先锋2》×《星际牛仔》联动宣传视频,134537,6051,177,5395,5395
社科・法律・心理,如何减少语言中的性别歧视与偏见？,103775,13331,791,1285,1285
手机游戏,永恒佐助、九喇嘛鸣人、百豪樱、仙鸣大削弱！忍战樱、百战水门大加强！新版本全忍者实际改动详解！,229501,18591,1556,722,722
田园美食,大海退潮后，大庆赶海发现还在开着花的红色海葵，好像石头一样,137448,13179,644,99,99
搞笑,开工抽奖这件事，谁才是掌管运气的神？,153135,13958,585,169,169
绘画,线上评画评着评着急了,408019,60225,1630,11669,11669
搞笑,大家什么情况下会内耗啊？,1911605,239059,252,3223,3223
短片・手书,【手书】“我爱你，那些问题我都没关系”,122122,32756,45,505,505
日常,参加了b站的音乐综艺，第一轮就被淘汰了….我不甘心,491919,26337,984,290,290
手机游戏,不再只是饮露履虫 新的时代 甘雨在深渊之外获得全新的力量（也有可能是赛诺）,211808,12289,1114,874,874
绘画,原来素描头发是这样画出来的^_^,563005,75746,786,2146,2146
影视杂谈,傻白甜是一种人生诅咒吗？喜剧人齐妃的后宫边缘人生,232656,15808,1303,724,724
小剧场,99%变100%的能力可以实现什么？,846206,64641,357,67,67
喵星人,给院儿里的小流浪猫制作“饮水器”,338843,53632,327,132,132
明星综合,【时代少年团】生日特别企划・宋亚轩篇《就是这么绝！》,698981,54984,50064,1574,1574
搞笑,都行哥和随便姐,891644,59367,146,730,730
手机游戏,点错是你的谎言！90级忍具开启，400万战力达成重夺榜一！从零开始的火影之路（十）,454248,20449,531,272,272
乐评盘点,周处除三害的音乐竟然是这么做的?丨HOPICO,99842,9071,419,1090,1090
手机游戏,【无派蒙原人】这个宝箱在这里放了快600天了,202951,28969,185,36,36
预告・资讯,甜死了！单亲妈妈与男团主唱姐弟恋！R级《关于你的想法》首曝预告，安妮・海瑟薇+星条红与皇室蓝男主,514760,16078,570,5961,5961
美食侦探,探秘全球十大自助餐！8星级皇宫自助！中东土豪吃什么？,1803079,130810,5550,5072,5072
穿搭,推荐一些没有班味的连衣裙！！！！,783694,30698,1503,1452,1452
音乐综合,【李玉刚】听说爆改很火，我也试一下！,479613,111679,280,718,718
家居房产,如何做个像云朵一样的沙发,272104,47190,212,259,259
日常,当我拿11个性别问题问5岁儿子，我被他的逻辑惊到了！,309991,14326,2264,5406,5406
日常,在一起四年，结局是遗憾,864331,74044,910,7086,7086
短片・手书,七十七集：钓鱼佬的争执，师傅直接钓六十万斤大鱼,98094,8626,456,78,78
日常,如何优雅地泡面,273297,37708,837,1979,1979
日常,"【MrBeast官方】$1对比$1,000,000酒店有什么区别？",857132,77593,2758,1330,1330
手工,卫衣刺绣,873108,88155,124,1582,1582
原创音乐,《重返未来：1999》EP | 门 The Doors,96305,15741,120,1058,1058
小剧场,花了5980买了20个平板盲盒，我真是疯了,1062131,31386,752,189,189
手机游戏,【原神】你的账号，正在沦为痛苦号……,190638,25091,279,675,675
出行,Vlog｜在北海道做了一场不愿醒来的梦,522406,50585,3389,10731,10731
人文历史,“我掐她不是为了害她！”暴力男友与完美女友的扭曲爱情,253543,15294,867,194,194
单机游戏,【粤语】大湾区特供版/流浪老哥变身精神小伙，精神病人被重拳打得鼻血直流，八角笼中谁主沉浮？――《功夫》像素游戏？,111900,10732,706,1192,1192
影视杂谈,如果在年轻的时候，你还不清楚自己要什么，那么就请去好好的读书！,843891,47577,3466,3930,3930
电子竞技,FPS天才吗？我也是,539840,41743,260,1641,1641
手机游戏,0氪0抽 屯15W原石 残害10名深渊主播 写入封神榜 从未满星 这个视频将会刷新你的认知！（痛苦号连续剧）,1039142,79286,3198,6893,6893
演奏,不要让有绝对音感的人刷短视频...(3),85253,11878,697,327,327
动漫杂谈,【深度解析】CLANNAD十周年人物手记Vol.10――麻枝准,65348,12479,401,676,676
日常,果不其然北京的客户是小鸡词典...,281028,19438,1297,1247,1247
手机游戏,节奏差评杀不死的游戏，都是有东西的！,288969,20214,547,139,139
手机游戏,【原神】千织的嗨丝！看完千织PV当场><,206608,15757,260,89,89
单机游戏,逆转南明！假如大明没有灭亡，还统御了全球？【钢铁雄心4】,56203,5745,1479,122,122
美食侦探,这条视频一发…我不得被骂疯了？！,349386,29930,615,807,807
搞笑,离谱的规定后面有更离谱的原因！,2173343,196722,3549,2178,2178
小剧场,人一旦染上“班味”，这辈子就去不掉了…,2101946,202462,1300,12690,12690
GMV,米哈游：二创可以接地气！！但你为什么要接地府啊喂！？,188286,16518,464,1668,1668
日常,婚后第一次叫老公，他要上天给我摘星星！,577189,112246,190,927,927
汪星人,商家：玩偶你可以拿走，副店长给我留下,1370655,183629,267,10058,10058
科学科普,了解一下人体子宫的样子,2403926,190972,3509,2910,2910
美食侦探,简简单单吃肉,1121016,112651,1616,1978,1978
出行,雪中的阿克雷里，浪漫遍布了每一个角落。,357996,76611,84,2888,2888
单机游戏,非常像翌日的游戏，我要经历四天的崩坏！《Tyl3R5》,168055,19261,2188,573,573
手机游戏,他的动作难以预测,287575,27379,157,785,785
影视杂谈,中国式教育对孩子的影响有多大？每年都会看一次的国产电影，太真实了《阳光普照》,517703,42420,745,604,604
科学科普,回暖阴冷来了！华南等大降温将持续湿冷，冷空气主力缩回西伯利亚,343149,26075,1275,1261,1261
手机游戏,所以你好，再见。,1031406,63834,294,290,290
手机游戏,投票第一？这游戏到底有啥魅力？粉丝都让我来玩？,253830,37515,830,227,227
桌游棋牌,【狼人杀】神兵天降 觉醒孤独少女带飞！,75546,5843,468,182,182
人力VOCALOID,【曾焦阳】伤心的人别打焦哥,429847,43832,917,9221,9221
音乐综合,纪念漫画家鸟山明｜《龙珠Z》片头曲 CHA-LA HEAD-CHA-LA――影山浩宣【Hi-Res】,116162,6121,211,484,484
科学科普,中美AI哪家强？我们组了一场“图灵高考”,351614,30357,1955,2283,2283
美食制作,雨姐今做一个黄面条,233984,25260,456,815,815
VOCALOID・UTAU,【AI上单五甜】《Love Story》,668691,39198,575,3409,3409
搞笑,忽然在爸妈面前极度自律！脱胎换骨！他们直接吓傻了！！！,108695,10295,502,58,58
出行,长白山vlog | 山川不只有白雪，还有治愈,263693,23466,228,530,530
影视杂谈,胆大包天！天真有害！《周处除三害》能不删就别删【影评人毛尖】,504487,38696,1352,2419,2419
日常,我，战鹰本鹰，登《男人装》封面了。?,850665,55521,1078,5849,5849
热点,全新上线！中华文明国际形象网宣片《CHN》,442045,51288,0,4186,4186
综合,【熟肉/Veibae】早上好中国――！,202763,14765,489,1518,1518
电子竞技,别急，玉城大帝就快来了,565027,33880,218,153,153
赛车,村长F1|平地一声雷，红牛爆内战！|24R1巴林,89480,6754,730,729,729
明星舞蹈,是谁切胆手术前还在病房蹦Q？！｜浅变一下,1020413,209890,261,1303,1303
手机游戏,一期视频告诉你农场强化封锁区有多么抽象！,83117,6901,266,127,127
搞笑,进来感谢格洛克尊者,162991,13573,222,2374,2374
预告・资讯,世界核战末日200年后！游改废土科幻大剧《辐射》正式预告，西部世界导演！04.12上线,389403,17008,1454,10579,10579
影视剪辑,“那些影史上难以超越的经典镜头”,876377,154999,141,1787,1787
影视剪辑,《父母的消费观》,1150966,213750,1103,3160,3160
搞笑,刚开学，老师被抓了怎么办啊哈哈哈哈哈哈,1064630,126567,994,5015,5015
手机游戏,? 我的火影兄弟 ?,102228,16511,55,900,900
手工,袜子破洞不要扔，顶针来补,512431,20214,573,1171,1171
鬼畜剧场,? 等 我 当 上 面 壁 者 ?,317852,36182,751,3492,3492
设计・创意,电影感拍照姿势快学起来,725958,60446,83,2408,2408
影视剪辑,【赛博朋克2077：往日之影 美剧版】第一集 “狗咬狗”,40558,3501,490,472,472
动漫杂谈,《生肖造神日记259》―真正的朔望月。,81474,7134,328,88,88
单机游戏,【RUST腐蚀生存】10000小时的独狼玩家，如何在全是老外的岛屿上生存下去！！,229718,16489,625,196,196
搞笑,当兄弟有了女朋友,1410255,177325,203,13073,13073
影视杂谈,女孩出生14天后被遗弃，养父打工供成博士，24年后亲妈拿50万认亲,428648,22644,1551,128,128
美食制作,酱香浓郁酸甜适口的三汁焖锅用电饭煲有没有搞头？,123490,17537,217,399,399
MAD・AMV,“这又是谁的遗憾”,201722,35844,297,914,914
手机游戏,个人强度请勿上升到忍者,717909,38149,281,1604,1604
搞笑,当山川不止出现在教科书里，而是在你我脚下,180401,38619,154,135,135
日常,大型纪录片《善良谎言传奇》持续为您播出,1756762,65062,90,101,101
日常,相亲三年后，我妈终于绝望了！！！！,839693,78310,7883,7907,7907
手办・模玩,Chiikawa自制中字 第148话「睡衣派对5」,197699,15119,617,10565,10565
仿妆cos,川渝女生的区别在哪里？,636604,83705,187,2291,2291
绘画,樱桃好贵啊 我摘了十八年才吃到,625924,79211,321,1274,1274
搞笑,警察：举起双手！,365407,47895,56,3754,3754
搞笑,这么好听的歌不能只让我独自欣赏,461189,64230,983,2497,2497
科学科普,痛经？月经紊乱？白带异常？这些「妇科慢性病」什么时候该去看医生？,494339,39533,4469,11986,11986
影视杂谈,中国教育劣于西方？这部中国和丹麦学生PK的纪录片，给出了答案！《丹麦9年Z班》,578350,23929,7291,766,766
汪星人,别再让你的小狗为巡回受苦了,875133,101428,230,2477,2477
单机游戏,挨打是动捕演员的工作内容之一【受击纯享版】,1031488,85810,285,905,905
日常,变身！御姐！,385621,55316,75,517,517
音乐综合,对话，陈粒粒粒粒粒粒！,712623,43356,1646,5768,5768
搞笑,如果地球的直径有一光年？,763632,24110,614,142,142
动物二创,这就是管道的原理,125839,15516,160,796,796
数码,【御成佳能】看完嘴角上扬！灵魂野生动物摄影,277389,53654,51,1208,1208
电子竞技,瞬秒流钟无艳，伤害高得离谱，能抗能打，瞬间爆发的伤害没有哪个英雄抗得住，不掉信誉积分系列教学,732480,27740,258,817,817
手机游戏,【战双帕弥什】新版本「幽塔黎光」PV公开 | 身陷樊笼，耀明寂暗,876638,30749,1330,2390,2390
单机游戏,【幽灵】自制逆天马里奥！阎王看了开口笑！！,280810,31393,448,144,144
乐评盘点,汗流浃背！国外声乐老师误入K歌房 林志炫 x 黄霄云 x 信乐团《千年之恋》REACTION,152097,7587,4503,289,289
出行,“黄山，随便一拍都是一副水墨画～”,297873,76352,945,5532,5532
电子竞技,剑姬：打完睡不着了！0-10了爸爸！别杀我了！,340216,21147,2388,74,74
单机游戏,【中式梦核】个人独立游戏开发画面演示,493602,110614,468,4185,4185
音乐综合,没想到这些这些歌曲都是我唱的吧~数数看我的热歌你们都听过几首？,168172,36335,694,655,655
单机游戏,折磨！当整个MC都想要了我的命！,1155352,135373,3466,940,940
国产原创相关,你变身成迪迦 在各个奥特曼副本里拯救世界P29,430768,10761,617,63,63
运动综合,八卦掌的黑手！（真正打人的东西不会上电视）,1785449,126118,272,816,816
手机游戏,《全网首杀》艾拉全程单人N15强杀骑士！！！,130970,9741,548,1852,1852
手机游戏,勘探员玩家特有的三块磁铁没法修机,269841,30139,307,507,507
影视杂谈,尸体做大提琴，声带做琴弦！魔鬼腹腔共鸣《汉尼拔》之奶酪诺曼洞,593704,54732,2373,1302,1302
动漫杂谈,评分9.9，全球动画好评榜前10！这部番到底凭什么让无数人破防？,255803,27000,492,823,823
搞笑,骑翼装飞行,608827,80598,439,420,420
设计・创意,如何用ps将人物液化调瘦,116386,11442,106,762,762
手机游戏,【星铁整活】花火：这个打火机怎么有个按钮？（按,153971,23701,290,271,271
特摄,【吉冈毅志】活久见！高山我梦在B站自弹自唱了盖亚奥特曼主题曲？,155693,24751,587,1293,1293
健身,短发女生｜咱就是单纯给姐妹们展示下背阔肌,766791,50133,242,3756,3756
财经商业,中产终于不装了？别闹，中国哪来的中产,1065714,45936,4806,4092,4092
人文历史,“好女人怎么能去理发店？”“为什么不能？”,678889,109095,79,158,158
单机游戏,随机有用植物VS随机僵尸96-100冠军之战 谁才是最强队伍！,119065,12364,2761,250,250
出行,探秘印度最贵酒店，印度富人的第二个家，连服务员都是婆罗门,1025334,73470,11632,3074,3074
家居房产,来看看，你们都给我推了什么离谱的东西（上）,389121,48035,826,709,709
美食记录,免费吃火锅是什么体验？,405963,39263,285,887,887
野生技能协会,第一次送照片！被北京人整不会了,606790,88607,803,1081,1081
手机游戏,《迫害方舟》今年最菜BOSS，永久卡死，被小装置单杀？,330088,21682,305,3833,3833
